1,10,1
1,14,1
1,19,1
1,23,1
1,27,1
1,29,1
1,31,1
2,14,1
2,17,1
2,19,1
2,20,1
3,9,1
2,24,1
2,28,1
3,10,1
3,11,1
3,12,1
4,26,1
3,14,1
3,15,1
3,17,1
4,27,1
4,30,1
6,12,1
6,16,1
5,29,1
6,17,1
6,20,1
5,32,1
7,23,1
6,21,1
7,28,1
7,33,1
8,5,1
8,9,1
8,10,1
6,23,1
9,13,1
9,18,1
7,35,2
8,13,1
7,38,1
7,39,2
8,18,2
7,40,1
11,22,1
9,22,2
11,24,2
7,41,2
10,58,2
8,20,2
9,27,2
12,30,2
7,46,1
7,49,2
8,22,1
13,27,1
9,28,2
8,27,2
10,59,3
10,64,1
9,32,2
15,14,1
12,32,2
9,36,2
14,66,3
12,34,1
16,55,3
16,60,3
9,40,2
15,19,2
11,25,1
12,38,2
13,32,2
18,4,1
15,22,2
19,102,1
11,28,1
14,69,3
13,37,3
15,23,4
12,42,1
11,30,3
19,106,1
17,29,2
13,42,2
19,107,1
20,74,1
13,47,3
13,49,1
14,70,3
17,30,1
20,79,1
21,84,4
20,81,4
21,85,3
24,55,2
24,56,3
18,8,4
18,13,3
20,86,5
19,111,1
22,89,2
21,86,5
25,52,3
16,63,4
27,59,4
21,89,4
17,32,5
20,90,4
27,63,5
17,36,4
23,23,1
17,37,3
18,17,2
29,81,4
17,38,3
16,66,5
20,93,3
27,66,4
29,83,4
28,42,3
18,19,6
17,40,1
26,94,4
26,95,2
24,59,6
17,42,5
25,56,3
26,98,6
18,24,2
21,90,2
23,26,3
25,58,4
18,27,6
34,143,6
31,30,6
30,150,3
24,63,1
27,71,5
30,151,5
30,154,4
33,104,7
27,76,6
34,146,2
33,109,7
21,94,5
33,114,7
28,45,1
19,116,3
36,39,7
32,75,6
23,29,5
20,96,3
25,63,3
27,81,6
26,101,1
22,94,7
35,86,6
25,67,5
32,76,5
36,43,6
27,84,4
29,85,6
31,32,3
25,68,8
36,44,2
38,91,2
39,102,8
22,97,8
27,87,8
29,90,7
32,80,3
31,33,5
36,46,5
28,46,3
27,91,1
32,83,1
26,102,4
35,91,5
40,194,5
29,92,7
45,27,4
39,103,3
29,95,1
40,197,4
25,69,4
38,92,2
37,35,9
28,47,6
24,64,9
43,201,7
27,94,6
29,96,1
42,84,8
46,131,1
32,85,7
47,214,1
48,159,2
43,202,1
38,94,2
48,162,4
39,104,7
40,199,9
43,205,2
49,231,4
33,117,8
38,98,9
28,49,7
38,101,2
33,119,10
34,149,7
30,155,5
48,163,8
29,99,1
48,168,1
46,133,8
50,79,3
38,102,1
36,48,10
37,39,4
36,52,5
33,120,2
29,104,4
47,219,10
33,122,7
40,203,9
37,42,10
46,138,2
57,222,5
32,87,7
54,10,11
31,36,3
56,195,2
49,233,1
50,82,11
37,45,2
45,30,10
37,50,10
58,169,9
36,56,3
50,86,3
52,82,1
32,88,1
42,89,7
54,15,8
51,221,8
47,220,5
49,235,3
51,226,1
32,90,3
54,16,5
33,123,6
53,66,2
33,124,1
39,106,12
58,174,2
62,143,6
44,149,6
40,204,3
52,83,12
38,104,5
55,56,9
43,210,6
50,91,8
36,58,11
64,8,13
39,111,8
46,139,9
63,143,2
66,25,10
51,227,6
55,57,6
49,236,7
40,206,5
48,171,9
37,51,11
67,90,11
40,210,6
61,31,14
43,215,12
61,35,1
57,227,3
62,146,3
42,91,13
59,270,12
63,146,11
62,150,12
54,20,4
71,16,3
39,115,13
72,171,2
69,224,2
54,25,10
65,245,3
67,95,3
61,39,14
66,29,12
64,11,7
48,173,5
71,17,3
60,266,12
54,28,8
45,34,4
67,98,4
54,33,13
39,117,9
47,222,9
56,200,1
49,237,13
48,174,8
72,172,10
57,229,9
51,231,5
66,34,14
64,13,8
41,23,6
58,177,2
61,41,7
44,150,15
56,201,9
75,60,12
55,62,7
58,179,9
79,116,7
57,234,13
60,268,15
49,242,12
45,35,16
70,57,4
57,239,7
72,176,16
80,172,15
57,241,10
65,250,14
63,149,16
50,94,4
80,176,12
57,243,8
83,259,14
77,343,16
80,178,15
57,245,5
55,67,15
51,233,1
76,319,12
75,64,10
47,223,2
73,263,14
55,68,5
63,153,10
65,253,10
46,140,7
70,60,12
49,247,12
55,72,2
73,267,4
57,250,14
70,64,9
70,69,9
80,182,15
57,253,13
52,84,13
76,323,5
67,99,17
62,155,1
48,177,12
54,35,9
87,70,12
66,39,16
93,348,14
75,65,16
91,10,3
92,61,15
84,22,10
67,100,10
49,250,10
93,351,10
56,203,8
89,170,8
90,347,3
72,179,18
78,65,17
88,6,11
69,227,8
78,70,10
62,157,14
82,219,13
58,183,6
71,21,9
63,155,10
51,234,8
55,76,3
75,70,12
97,247,2
53,70,12
73,272,11
78,73,1
65,254,6
92,63,1
64,18,19
53,75,6
79,118,19
93,355,19
92,64,19
69,232,20
80,186,19
66,42,3
65,257,19
77,347,15
77,352,7
77,357,16
93,356,5
74,271,8
85,185,18
69,234,10
85,186,3
85,191,15
74,273,5
80,191,18
76,326,15
82,223,6
55,80,6
86,99,9
69,236,9
80,194,6
96,397,14
107,156,5
98,193,7
79,121,5
83,262,6
96,401,20
108,104,3
68,85,9
100,149,19
107,161,6
57,258,14
92,67,20
100,154,13
77,360,1
72,182,16
84,23,20
58,185,16
98,196,13
85,196,14
92,70,21
94,195,5
100,156,7
89,175,10
90,349,4
90,352,15
106,339,14
77,362,2
81,223,14
97,252,7
100,157,11
88,8,3
76,329,18
83,264,12
104,357,17
110,343,12
61,43,12
82,227,1
111,471,16
73,275,10
59,275,3
60,270,20
70,74,7
100,159,12
80,197,10
72,183,11
115,260,17
80,199,10
69,239,1
114,111,22
108,106,19
119,474,17
102,153,13
76,331,1
65,262,8
80,203,21
80,208,4
93,358,6
85,201,18
82,232,14
117,299,6
84,27,24
113,244,15
87,72,20
90,356,4
106,344,2
73,278,8
89,177,24
106,349,7
98,197,11
83,268,6
74,274,11
99,112,9
91,13,6
85,206,14
114,114,25
78,75,25
96,402,18
122,80,7
69,240,13
95,95,23
95,99,25
123,401,15
94,197,17
69,242,8
66,47,20
65,263,18
111,476,14
128,130,21
95,102,24
126,126,12
108,111,10
83,269,3
67,103,14
75,74,24
84,32,16
130,28,3
129,167,20
102,156,20
91,18,2
101,66,17
81,224,20
118,213,23
99,114,11
91,20,18
85,211,20
127,189,5
129,169,13
84,36,17
80,211,21
106,354,1
108,116,7
74,278,25
69,247,11
133,494,15
129,171,4
94,200,1
70,77,11
69,250,25
98,202,24
87,75,5
136,86,24
116,50,22
107,165,1
72,188,9
112,63,10
116,55,4
98,203,8
134,25,5
93,361,18
114,118,12
108,120,13
72,192,2
128,132,15
128,133,28
115,263,15
83,271,16
122,81,4
89,178,10
92,72,26
107,168,22
119,475,9
108,124,18
110,346,15
84,40,5
88,13,4
138,25,2
104,358,28
78,78,11
130,32,9
79,126,19
101,67,25
133,499,26
118,214,13
114,119,9
114,122,11
74,280,18
125,7,18
77,363,4
85,214,26
111,479,1
142,260,19
106,357,12
90,360,21
101,71,7
77,366,12
128,137,20
107,173,20
133,501,2
91,21,6
106,359,12
148,287,16
100,163,4
108,126,16
134,28,15
82,236,13
112,64,6
142,264,1
90,363,24
143,448,9
92,74,16
130,37,29
134,31,24
106,364,16
102,160,28
89,182,19
94,203,29
109,17,28
128,138,12
117,301,5
137,68,9
126,127,5
112,67,18
100,166,24
142,267,22
120,177,17
152,555,21
94,206,8
140,315,9
106,368,30
151,32,6
121,143,19
99,117,11
140,316,8
102,163,3
150,105,19
146,512,7
105,250,30
114,123,23
137,72,21
149,485,9
128,139,21
136,91,1
146,516,25
148,290,1
114,128,15
156,459,11
139,55,31
133,506,2
136,92,16
107,174,20
139,60,24
107,176,12
102,168,32
101,72,31
114,131,1
134,36,9
101,73,32
100,171,7
150,108,7
155,299,8
140,320,16
83,273,30
146,517,10
109,20,18
159,72,16
133,508,22
162,74,28
89,183,32
135,245,7
143,449,15
161,587,18
86,102,13
153,105,10
110,349,2
162,78,31
142,271,29
152,559,10
95,105,2
153,107,23
110,354,24
165,30,23
99,119,8
92,79,20
128,144,5
88,14,29
135,246,12
